composer
"Ritter, August Gottfried"
"Ritter, Hermann"
"Rive-King, Julia"
"Rode, Pierre"
"Rodolphe, Jean-Joseph"
"Rognoni, Riccardo"
"Rolla, Alessandro"
"Rolla, Antonio"
"Romano, Eustachio"
"Romberg, Andreas"
"Romberg, Bernhard"
"Roques, Léon"
"Rose, Cyrille"
"Roseingrave, Thomas"
"Rosenbaum, Christian Ernst"
"Rosenhain, Jacob"
"Rosenthal, Moriz"
"Rossi, Michelangelo"
"Rossi, Salamone"
"Rossini, Gioacchino"
"Rovelli, Pietro"
"Royer, Joseph-Nicolas-Pancrace"
"Royer, Étienne"
"Rubinstein, Anton"
"Rubinstein, Joseph"
"Rudnick, Wilhelm"
"Russell, William"
"Ruthardt, Adolf"
"Rutini, Giovanni Marco"
"Ryan, Desmond Lumley"
"Röckel, Joseph Leopold"
"Rüfer, Philipp"
"Safonov, Vasily Ilyich"
"Saint-Lubin, Léon de"
"Saint-Saëns, Camille"
"Salomé, Théodore"
"Sammartini, Giuseppe Baldassare"
"San Rafaele, Benvenuto Robbio"
"Santos Carrión, Julián"
"Santos de la Rosa, Alfredo"
"Sapelnikov, Vassily"
"Sarasate, Pablo de"
"Sarreau, Gaston"
"Sarti, Giuseppe"
"Satter, Gustav"
"Sauer, Emil von"
"Sayve, Lambert de"
"Scalabrini, Paolo"
"Scalero, Rosario"
"Scarlatti, Alessandro"
"Scarlatti, Domenico"
"Schaffner, Nicolaus Albert"
"Schall, Claus"
"Schantl, Josef"
"Scharf, Moritz"
"Scharwenka, Philipp"
"Scharwenka, Xaver"
"Scheibe, Johann Adolph"
"Scheidt, Samuel"
"Schein, Johann Hermann"
"Scheinpflug, Paul"
"Schenck, Johann"
"Scherer, Sebastian Anton"
"Schjelderup, Gerhard Rosenkrone"
"Schlösser, Louis"
"Schmitt, Joseph"
"Schmittbauer, Joseph Aloys"
"Schneider, Adam"
"Schneider, Friedrich"
"Schneider, Georg Abraham"
"Schneider, Lorenz"
"Schobert, Johann"
"Schoeck, Othmar"
"Scholz, Bernhard"
"Scholze, Johann Sigismund"
"Schradieck, Henry"
"Schröder, Carl"
"Schubert, Camille"
"Schubert, Franz"
"Schubert, Joseph"
"Schuberth, Carl"
"Schultz, Leonard"
"Schulz, Johann Abraham Peter"
"Schulz-Evler, Adolf"
"Schumann, Robert"
"Schwindl, Friedrich"
"Schytte, Ludvig"
"Schäfer, Dirk"
"Schütt, Eduard"
"Schütz, Heinrich"
"Scontrino, Antonio"
"Scriabin, Alexander"
"Sekles, Bernhard"
"Senfl, Ludwig"
"Servais, Adrien-François"
"Seybold, Artur"
"Seyfert, Martin"
"Sgambati, Giovanni"
"Shaeffer, Arling"
"Sharp, Cecil"
"Shcherbachov, Nikolai Vladimirovich"
"Sheeles, John"
"Sherwood, Percy"
"Shield, William"
"Siboni, Erik"
"Siloti, Alexander Ilyich"
"Silver, Charles"
"Simon, Anton"
"Simonetti, Achille"
"Sinding, Christian"
"Singelée, Jean Baptiste"
"Singer I, Otto"
"Sitt, Hans"
"Sjögren, Emil"
"Slavik, Josef"
"Smit, Maarten"
"Smith, F. Lorenz"
"Smith, Sydney"
"Smyth, Ethel"
"Sobeck, Johann"
"Sokolov, Nikolay"
"Soldá, Fábio"
"Soler, Antonio"
"Sommer, Wilibald"
"Sonnleithner, Christoph"
"Sor, Fernando"
"Sperger, Johann Matthias"
"Spicker, Max"
"Spigner, Frank Andrew"
"Spohr, Louis"
"Spontini, Gaspare"
"St. George Tucker, Tui"
"Staehle, Hugo"
"Stainlein, Louis"
"Stamaty, Camille"
"Stamitz, Anton"
"Stamitz, Carl Philipp"
"Stanchinsky, Alexei"
"Stanford, Charles Villiers"
"Stanley, John"
"Stehle, Johann Gustav Eduard"
"Steibelt, Daniel"
"Sterkel, Johann Franz Xaver"
"Steveniers, Jacques"
"Stiastny, Jan"
"Stigelli, Georgio"
"Stoltzer, Thomas"
"Strakosch, Maurice"
"Strauss Jr., Johann"
"Strauss, Henry"
"Strauss, Isaac"
"Strauss, Richard"
"Stuck, Jean-Baptiste"
"Suk, Josef"
"Sullivan, Arthur"
"Suppé, Franz von"
"Svendsen, Johan"
"Swert, Jules de"
"Szemelényi, Ernest"
"Szerémi, Gustave"
"Szymanowska, Maria Agata"
"Szymanowski, Karol"
"Sörgel, Friedrich Wilhelm"
"Tabakov, Mikhail"
"Tallis, Thomas"
"Taneyev, Alexander Sergeievich"
"Tarroni, Antonio"
"Tartini, Giuseppe"
"Tassistro, Pietro"
"Taubert, Wilhelm"
"Tausig, Carl"
"Teike, Carl"
"Telemann, Georg Philipp"
"Tellefsen, Thomas Dyke Acland"
"Thalberg, Sigismond"
"Thayer, Eugene"
"Thieriot, Ferdinand"
"Thoms, Anton"
"Thomé, Francis"
"Thuille, Ludwig"
"Tillmetz, Rudolf"
"Tinel, Edgar"
"Toeschi, Carl Joseph"
"Tomášek, Václav Jan"
"Tonassi, Pietro"
"Tosti, Francesco Paolo"
"Tregian, Francis (the Younger)"
"Tricklir, Jean Balthasar"
"Troupenas, Jules"
"Tsybin, Vladimir"
"Tuczeck, Vincenz Franz"
"Tunder, Franz"
"Turner, Alfred Dudley"
"Turner, Elizabeth"
"Turner, Joseph W."
"Tárrega, Francisco"
"Täglichsbeck, Thomas"
"Türke, Otto"
"Vaccai, Nicola"
"Valentine, Robert"
"Valette de Montigny, Joseph"
"Vanhal, Johann Baptist"
"Vardapet, Komitas"
Various
"Varlamov, Alexander Yegorovich"
"Vasilenko, Sergeĭ Nikiforovich"
"Vaucorbeil, Auguste"
"Vaughan Williams, Ralph"
"Vecchi, Orazio"
"Vecsey, Franz von"
"Veillot, Jean"
"Veit, Václav"
"Verdi, Giuseppe"
"Verini, Phillipe Raphael Jean Baptiste"
"Verroust, Stanislas"
"Viardot, Pauline"
"Victoria, Tomás Luis de"
"Vieuxtemps, Henri"
"Vilbac, Renaud de"
"Vinci, Leonardo"
"Viotti, Giovanni Battista"
"Visotsky, Mikhail Timofeyevich"
"Vitali, Tomaso Antonio"
"Vivaldi, Antonio"
"Vogler, Georg Joseph"
"Volbach, Fritz"
"Volkmann, Robert"
"Voříšek, Jan Václav"
"Vreuls, Victor"
"Vītols, Jāzeps"
"Wagner, Richard"
"Wagner, Siegfried"
"Wailly, Paul de"
"Walckiers, Eugène"
"Waldteufel, Emile"
"Wallner, Leopold"
"Walther, Johann Gottfried"
"Warneke, Uwe"
"Warren, Charles"
"Weber, Joseph Miroslav"
"Weingartner, Felix"
"Weingärtner, J."
"Weipert, John Erhardt"
"Weismann, Julius"
"Weiss, Franz"
"Weiss, Josef"
"Weiss, Karl"
"Wenzel, Hermann"
"Wepf, Johannes"
"Wermann, Oskar"
"Werner, Gregor Joseph"
"Werner, Josef"
"WesenAuer, Peter"
"Wessely, Johann"
"Westhoff, Johann Paul von"
"Weyse, Christoph Ernst Friedrich"
"White, Joseph"
"Whiting, Arthur Battelle"
"Whiting, George Elbridge"
"Whitney, Samuel Brenton"
"Widor, Charles-Marie"
"Wieck, Friedrich"
"Wieniawski, Henryk"
"Wieniawski, Józef"
"Wilbye, John"
"Wilhelmj, August"
"Williams, Alberto"
"Wilm, Nicolai von"
"Wilms, Johann Wilhelm"
"Wilson, Christopher"
"Winding, August"
"Winge, Per"
"Winkler, Alexandre"
"Winter, Peter von"
"Wise, Samuel"
"Woelfl, Joseph"
"Wohlfahrt, Franz"
"Woldemar, Michel"
"Wolf, Ernst Wilhelm"
"Wolf, Hugo"
"Wolff, Édouard"
"Wollenhaupt, Hermann Adolf"
"Woodcock, Robert"
"Wranitzky, Anton"
"Wranitzky, Paul"
"Wright, Gustin"
"Wright, Thomas"
"Yon, Pietro"
"Youferoff, Serge"
"Young, Dalhousie"
"Ysaÿe, Eugène"
"Ysaÿe, Théo"
"Yurasovsky, Alexander Ivanovich"
"Zachow, Friedrich Wilhelm"
"Zadora, Michael"
"Zandonai, Riccardo"
"Zaremba, Sigismund Vladislavovich"
"Zarzycki, Aleksander"
"Zarębski, Juliusz"
"Zemlinsky, Alexander von"
"Ziani, Pietro Andrea"
"Zichy, Géza"
"Zielche, Hans Hinrich"
"Zimmermann, H."
"Zinck, Bendix Friedrich"
"Zinck, Hartenack Otto Conrad"
"Zoeller, Carli"
"Zsadányi, Armand"
"Zsolt, Nándor"
"Zucchi, Giacomo"
"Zundel, John"
"Ölander, Per August"
"Ševčík, Otakar"
"Štěpán, Josef Antonín"
"Żeleński, Władysław"
"Abbiate, Louis"
"Abelardo, Nicanor"
"Achron, Joseph"
"Adams, E. Franklin"
"Adams, G"
"Adams, Mrs. Crosby"
"Adgate, Andrew"
"Adlgasser, Anton Cajetan"
"Agazzari, Agostino"
"Agostini, Paolo"
"Agricola, Alexander"
"Agricola, Martin"
"Aguirre, Julian"
"Ahle, Johann Rudolf"
"Aichinger, Gregor"
"Alain, Jehan"
"Alais, Juan"
"Alary, Giulio"
"Alberstoetter, Carl"
"Alberti, Domenico"
"Alenev, Yevgeny Fedorovich"
"Alferaki, Achilles"
"Aliani, Nicola"
"Alió, Francisco"
"Allier, Gabriel"
"Anchorena, Emilio Vicente"
"Ancliffe, Charles"
"Andersen-Wingar, Alfred"
"Andersson, Richard"
"Anerio, Felice"
"Anfossi, Pasquale"
"Angerer, Edmund"
"Ansorge, Conrad"
"Antalffy-Zsiross, Dezső"
"Antegnati, Costanzo"
"Anthony, Bert R."
"Anton Sr., Philipp Gottlieb"
"Antonio, Lincoln"
"Antoniotto, Giorgio"
"Arcadelt, Jacob"
"Arcas, Julián"
"Arresti, Floriano"
"Arrigo, Giuseppe"
"Artusini, Antonio"
"Asafyev, Boris"
"Asplmayr, Franz"
"Auer, Leopold"
"Aulin, Valborg"
"Auzende, Ange-Marie"
"Avondano, Pedro António"
"Babell, William"
"Bach, Johann Christoph"
"Bach, Johann Ernst"
"Bachmann, Georges"
"Bachmann, Joseph Siegmund"
"Baglioni, Antonio"
"Bai, Tommaso"
"Balay, Guillaume"
"Balbastre, Claude-Bénigne"
"Baldenecker, Udalrich"
"Balocchi, Luigi"
"Bantock, Granville"
"Barbandt, Charles"
"Barié, Augustin"
"Barker, George"
"Barmotin, Semen"
"Barnekow, Christian"
"Barnett, John Francis"
"Barni, Camillo"
"Barrera, Enrique"
"Barret, Apollon Marie-Rose"
"Barth, Christian Frederik"
"Barthe, Adrien"
"Bartlett, Homer Newton"
"Bartmuss, Richard"
"Bassi, Luigi"
"Battanchon, Félix"
"Battmann, Jacques-Louis"
"Battre, H"
"Bauck, Wilhelm"
"Bauer, Harold"
"Bauer, Joseph Anton"
"Baumberg, J. C."
"Baumfelder, Friedrich"
"Baussnern, Waldemar von"
"Bay, Rudolph"
"Beach, Amy Marcy"
"Bechgaard, Julius"
"Becker, Albert"
"Becker, Carl Ferdinand"
"Becker, Dietrich"
"Becker, René Louis"
"Bedyngham, John"
"Belkin, Alan"
"Belknap, Daniel"
"Bellavere, Vincenzo"
"Bellini, Vincenzo"
"Bellis, Giovanni Battista de"
"Bellman, Carl Michael"
"Bencini, Giuseppe"
"Bendix, Victor"
"Benet, John"
"Bennett, John"
"Bentzon, Jørgen"
"Berbiguier, Tranquille"
"Berchem, Jacquet de"
"Berger, Ludwig"
"Bernabei, Ercole"
"Berteau, Martin"
"Berthier, Paul"
"Bertoldo, Sperindio"
"Berwald, Franz"
"Besard, Jean-Baptiste"
"Betts, Edward"
"Bezekirsky, Vasily Vasilievich"
"Billema, Raffaele"
"Billig, Friedrich David"
"Binet, Frédéric-Augustin"
"Bini, Pasquale"
"Bischoff, Kaspar Jacob"
"Blazy, Maurice"
"Bleikhman, Yuly Ivanovich"
"Blin, René Louis"
"Bloch, József"
"Blockx, Jan"
"Blum, Carl Wilhelm August"
"Bobinski, Henryk"
"Boccalari, Eduardo"
"Bockmühl, Robert Emile"
"Boero, Leonardo"
"Bohlmann, Georg Carl"
"Bohnke, Emil"
"Bononcini, Giovanni"
"Bordèse, Luigi"
"Bornhardt, Johann Heinrich Carl"
"Boroni, Antonio"
"Bortkiewicz, Sergei Eduardovich"
"Bortniansky, Dmytro"
"Boschetti, Giovanni Boschetto"
"Bottazzo, Luigi"
"Bourgeois, Émile"
"Bourguignon, François"
"Bousset, Jean-Baptiste Drouart de"
"Bovy-Lysberg, Charles Samuel"
"Boëly, Alexandre-Pierre-François"
"Braga, Gaetano"
"Brandl, Johann Evangelist"
"Brandt, G. Auguste"
"Brandts Buys, Jan"
"Brant, Per"
"Braunfels, Walter"
"Braungardt, Fridolin"
"Brazelton, Edgar A."
"Bree, Johannes Bernardus van"
"Brevi, Giovanni Battista"
"Brink, Jules ten"
"Bronsart von Schellendorff, Hans"
"Brosset, Jules"
"Broutin, Clément"
"Brown, Arthur L."
"Brucken Fock, Gerard von"
"Bruneau, Alfred"
"Buck, Dudley"
"Bull, John"
"Bullard, Frederic Field"
"Burck, Joachim a"
"Burger, Max"
"Busch, Adolf"
"Busnois, Antoine"
"Butterfield, James A."
"Bédard, Jean-Baptiste"
"Böhm, Georg"
"Böhme, Oskar"
"Böhner, Johann Ludwig"
"Cabanilles, Juan"
"Caldara, Antonio"
"Caletti, Giovanni Battista"
"Callaerts, Joseph"
"Calleja, Rafael"
"Callejo, Fernando"
"Campderrós, José de"
"Cannabich, Carl August"
"Cannicciari, Pompeo"
"Canongia, José Avelino"
"Capocci, Filippo"
"Cappelen, Christian"
"Caproli, Carlo"
"Cardoso, Manuel"
"Carman, Marius"
"Carr, Benjamin"
"Casalonga, Marguerite"
"Casella, César A. de"
"Casorti, Alessandro"
"Castello, Dario"
"Cavaccio, Giovanni"
"Cavazzoni, Girolamo"
"Celega, Nicolò"
"Cerone, Pietro"
"Cervantes, Ignacio"
"Chabeaux, Paul"
"Chabrier, Emmanuel"
"Chadwick, George Whitefield"
"Champein, Stanislas"
"Chapuis, Auguste"
"Charbonnet, Alice Ellen"
"Charlot, Jacques"
"Chassaigne, Francis"
"Chassain, Raoul"
"Chaulieu Sr., Charles"
"Chausson, Ernest"
"Chauvet, Alexis"
"Chesnet, René"
"Chevallier, Germain"
"Chouquet, Louise"
"Chován, Coloman"
"Chrétien, Hedwige"
"Chvála, Emanuel"
"Ciardi, Cesare"
"Cima, Giovanni Paolo"
"Ciolacou, Hélène"
"Ciolfi, C"
"Cirillo, Vincenzo"
"Clapisson, Louis"
"Clemens non Papa, Jacobus"
"Clement, Franz"
"Cleve, Halfdan"
"Clérambault, Louis-Nicolas"
"Coates, Eric"
"Coclico, Adrianus Petit"
"Coenen, Willem"
"Cohen, Jules"
"Coleridge-Taylor, Samuel"
"Colin, Charles"
"Comes, Joan Baptista"
"Compère, Loyset"
"Contant, Alexis"
"Coquard, Arthur"
"Cor-de-Lass, José de"
"Corbin, Albert"
"Cornelius, Peter"
"Correa de Arauxo, Francisco"
"Corri, Domenico"
"Corticelli, Gaetano"
"Costa, Michael"
"Costantini, Alessandro"
"Costantini, Fabio"
"Costeley, Guillaume"
"Costé, Jules"
"Couperin, Armand-Louis"
"Couperin, Louis"
"Courjon, Eugène-Joseph"
"Cowen, Frederic Hymen"
"Cramer, Henri"
"Cramer, R. P."
"Cramer, Wilhelm"
"Crecquillon, Thomas"
"Crocé-Spinelli, Bernard-Louis"
"Croisier, John-Henri"
"Crowest, Frederick James"
"Croze, Louis de"
"Cui, César"
"Cunio, Angelo"
"Cœdès, Auguste"
"Dallier, Henri"
"Dam, Mads Gregers"
"Dana, Ruth"
"Daniels, Charles N."
"Danks, Hart Pease"
"Davidson, Robert"
"Davin, Karl Heinrich Georg"
"De Crescenzo, Costantino"
"De Lara, Isidore"
"Debussy, Claude"
"Decker-Schenk, Johann"
"Decourcelle, Paul"
"Decq, Adhemar"
"Degner, Erich Wolf"
"Delafosse, Léon"
"Deldevez, Édouard Marie Ernest"
"Delioux, Charles"
"Della-Maria, Dominique"
"Deller, Florian Johann"
"Delune, Louis"
"Demarquette, F."
"Demars, Charles"
"Denza, Luigi"
"Dickhut, Christian"
"Dietrich, Albert Hermann"
"Dieupart, Charles"
"Dimitrescu, Constantin"
"Dinicu, Angheluș"
"Donati, Ignazio"
"Drangosch, Ernesto"
"Drath, Theodor"
"Drdla, František Alois"
"Dresden, Sem"
"Dresel, Hans Adolf"
"Dressler, Friedrich August"
"Dressler, Gallus"
"Dretzel, Cornelius Heinrich"
"Dretzel, Valentin"
"Drobisch, Eugen"
"Du Mage, Pierre"
Dubuisson
"Dufay, Guillaume"
"Dukas, Paul"
"Duncan, Edmondstoune"
"Dunhill, Thomas"
"Dunn, Bart"
"Dunstaple, John"
"Duparc, Henri"
"Dupont, Gabriel"
"Duport, Jean-Louis"
"Durand, Auguste"
"Durante, Francesco"
"Dussek, Sophia"
"Dvořák, Antonín"
"Eberwein, Traugott Maximilian"
"Eccard, Johannes"
"Eccles, Henry"
"Eccles, John"
"Eckel, Ludwig"
"Edwards, Julian"
"Eilenberg, Richard"
"Ellerton, John Lodge"
"Elling, Catharinus"
"Enna, August"
"Espino, Felipe"
"Espinosa, Gaspar"
"Espín y Guillén, Joaquín"
"Fabricius, Jacob"
"Fahrbach, Josef"
"Fairchild, Blair"
"Faisst, Immanuel"
"Falcone, Achille"
"Falconieri, Andrea"
"Farwell, Arthur"
"Fattorini, Gabriele"
"Fattschek, Bernard"
"Faure, Jean-Baptiste"
"Favarger, René"
"Feltzer, Willem"
"Fernández Caballero, Manuel"
"Fernández Palero, Francisco"
"Ferrabosco Jr., Alfonso"
"Ferrante, Andrea"
"Fesch, Willem de"
"Feuillard, Louis R."
"Fiedler, Max"
"Fier, Jean Baptiste de"
"Fink, Hans"
"Fiocco, Joseph-Hector"
"Fioravanti, Valentino"
"Fischer, Johann Caspar Ferdinand"
"Fitzenhagen, Wilhelm"
"Fleischmann, Otto"
"Fleuret, Daniel"
"Flügel, Gustav"
"Foerster, Josef Bohuslav"
"Foggia, Francesco"
"Folk Songs, German"
"Folk Songs, Polish"
"Fonseca, Ida Henriette da"
"Foote, Arthur"
"Forchhammer, Theophil"
"Forino, Luigi"
"Forster, Georg"
"Foster, Stephen"
"Foucquet, Pierre-Claude"
"Fourdrain, Félix"
"Francisque, Antoine"
"Frankenberger, Heinrich Friedrich"
"Franz, J."
"Frederick II"
"Freer, Eleanor Everest"
"Frey, Emil"
"Frost, Charles Joseph"
"Fröhlich, Friedrich Theodor"
"Fuhrmeister, Fritz"
"Fumagalli, Adolfo"
"Févin, Antoine de"
"Gabrilowitsch, Ossip"
"Gagliano, Marco da"
"Galeotti, Cesare"
"Galletti, Mauro"
"Galli, Raffaele"
"Galliard, Johann Ernst"
"Galos, Giselle"
"Gambaro, Vincenzo"
"Ganz, Moritz"
"Garnery, H. Aimé"
"Garratt, Percival"
"Gastaldon, Stanislao"
"Gaul, Alfred Robert"
"Geibel, Adam"
"Genishta, Iosif Iosifovich"
"Gerlach, Carl Ludvig"
"Germano, Carlo"
"Gervais, Charles-Hubert"
"Gesualdo, Carlo"
"Ghys, Joseph"
"Giacobetti, Pietro Amico Ripano"
"Giesen, Dominik"
"Gilbert, Henry Franklin Belknap"
"Gilchrist, William Wallace"
"Gilles, Jean"
"Gillet, Ernest"
"Glinka, Mikhail Ivanovich"
"Glæser, Joseph"
"Goepfart, Karl Eduard"
"Gomes, Carlos"
"Goria, Alexandre Édouard"
"Gossec, François Joseph"
"Gottschalg, Alexander Wilhelm"
"Grabert, Martin"
"Grace, Harvey"
"Graener, Paul"
"Gragnani, Filippo"
"Grant, John"
"Grasse, Edwin"
"Grayson, Martin"
"Greef, Arthur de"
"Green, James"
"Gregorian Chant"
"Gretchaninov, Alexander Tikhonovich"
"Grey, A. Ogilvie"
"Griffes, Charles Tomlinson"
"Grisar, Albert"
"Grosjean, Claude"
"Groth, Fredrik Christian"
"Grétry, André Ernest Modeste"
"Grünbaum, W."
"Grünberger, Ludwig"
"Guerrero, Francisco"
"Guilain, Jean-Adam"
"Guiraud, Georges"
"Gunn, Barnabas"
"Gurilev, Alexander Lvovich"
"Gurilev, Lev Stepanovich"
"Gurlitt, Cornelius"
"Gutmann, Adolf"
"Görner, Johann Valentin"
"Götz, Alois"
"Habeneck, François Antoine"
"Haberbier, Ernst"
"Hackh, Otto Christoph"
"Hadley, Henry Kimball"
"Hallé, Charles"
"Halphen, Fernand"
"Halvorsen, Johan"
"Halévy, Fromental"
"Hamm, Johann Valentin"
"Hammerschmidt, Andreas"
"Handl, Jacob"
"Handy, W. C."
"Hann, Lewis Robert"
"Hardebeck, Carl G."
"Harris, Cuthbert"
"Harty, Hamilton"
"Haslinger, Tobias"
"Hatton, John Liptrott"
"Haueisen, Wolfgang Nicolaus"
"Haupt, Carl August"
"Hauser, Miska"
"Hayes, William"
"Hecker, Berta Josephine"
"Heine, Axel"
"Heinisch, Victor"
"Heintz, Wolff"
"Held, Friedrich"
"Hellinck, Lupus"
"Helsted, Gustav"
"Henriques, Robert"
"Herbert, Victor"
"Herbst, Fritz"
"Hernandez, Isidoro"
"Herold, Emil"
Hervé
"Herz, Jacques"
"Herzogenberg, Heinrich von"
"Hesse, Johann Heinrich"
"Hignard, Aristide"
"Hill, Edward Burlingame"
"Hill, Mildred"
"Hinterleithner, Ferdinand Ignaz"
"Hirschbach, Herrmann"
"Hitz, Franz"
"Hocmelle, Pierre Edmond"
"Hofmann, Leopold"
"Holcombe, Henry"
"Hollaender, Alexis"
"Hollaender, Gustav"
"Hollins, Alfred"
"Holmberg, Betsy"
"Holst, Eduard"
"Homilius, Gottfried August"
"Hook, James"
"Hopkinson, Francis"
"Horsman, Edward"
"Hotteterre, Jacques"
"Hudson, Robert"
"Hull, Arthur Eaglefield"
"Humble, Maximilian"
"Hummel, Ferdinand"
"Humperdinck, Engelbert"
"Hunyadi, János"
"Ippolitov-Ivanov, Mikhail Mikhailovich"
"Isaac, Heinrich"
"Isouard, Nicolo"
"Ives, Charles"
"Jacquet de La Guerre, Elisabeth"
"Jacquot, Matthieu"
"Jelic, Milos"
"Jenkinson, Ezra"
"Jentsch, Max"
"Jeral, Wilhelm"
"Jollage, Charles-Alexandre"
"Joly, D."
"Jonas, Ernst"
"Jones, John"
"Jongen, Joseph"
"Járay-Janetschek, István"
"Järnefelt, Armas"
"Kalafati, Vasily"
"Kalinnikov, Vasily"
"Kaminsky, Isaac"
"Kapteyn, Johannes"
"Kashperova, Leokadiya"
"Kelway, Joseph"
"Kelz, Johann Friedrich"
"Kerckhoven, Abraham van den"
"Kerle, Jacobus de"
"Kirchhoff, Gottfried"
"Kirchner, Fritz"
"Kistler, Cyrill"
"Kleinknecht, Jakob Friedrich"
"Klindworth, Karl"
"Klose, Friedrich"
"Knab, Armin"
"Knüpfer, Sebastian"
"Kolb, Johann Baptist"
"Korganov, Genariĭ Osipovich"
"Korngold, Erich Wolfgang"
"Korotkov, Alexander"
"Krantz, Louis Adolph"
"Krein, Aleksandr Abramovich"
"Krein, Grigory Abramovich"
"Krejčí, Josef"
"Kreuzhage, Eduard"
"Kreyn, Mark"
"Krieger, Johann Philipp"
"Krug, Arnold"
"Krug, Gustav"
"Krygell, Johan Adam"
"Kufferath, Hubert Ferdinand"
"Kuntze, Carl"
"Köhler, Ernst"
"Kölling, Adolph"
"Kölling, Carl"
"Kühmstedt, Friedrich"
"La Fauci, Jacopo"
"La Rue, Pierre de"
"La Tombelle, Fernand de"
"Labori, Marguerite"
"Lacombe, Paul"
"Lafrenière, Jean-Baptiste"
"Lamb, Joseph Francis"
"Lambillotte, Louis"
"Lammi, F"
"Lamothe, Georges"
"Lamotte, Émile Henry Antony"
"Lamperti, Giovanni Battista"
"Landi, Stefano"
"Lange Sr., Samuel de"
"Lange, Gustav"
"Lange-Müller, Peter Erasmus"
"Langer, Ferdinand"
"Lanner, Joseph"
"Laparra, Raoul"
"Lardelli, Guglielmo"
"Lasson, Per"
"Lassus, Ferdinand de"
"Lauenstein, Otto"
"Laurendeau, Louis Philippe"
"Lawes, Henry"
"Lazarus, Gustav"
"Lazzari, Raffaello"
"Lazzari, Sylvio"
"Le Carpentier, Adolphe Claire"
"Le Guillard, Albert"
"Le Roux, Gaspard"
"Lecce, Francesco"
"Ledhuy, Adolphe"
"Leeder, Johann Wilhelm"
"Lefèbvre, Joseph"
"Legge, Robin Humphrey"
"Legouix, Isidore-Edouard"
"Lehár, Franz"
"Lemare, Edwin Henry"
"Lemoyne, Gabriel"
"Lemoyne, Jean-Baptiste"
"Lenormand, René"
"Leoncavallo, Ruggiero"
"Leoni, Leone"
"Leopold I, Holy Roman Emperor"
"Leveridge, Richard"
"Levitzki, Mischa"
"Levy, Martin"
"Liadov, Anatoly"
"Liebling, Emil"
"Liebmann, Helene"
"Lilienthal, Abraham Wolf"
"Litzau, Johannes Barend"
"Loewe, Carl"
"Long, Samuel"
"Longo, Alessandro"
"Loomis, Harvey Worthington"
"Lopes, Edson"
"Lortzing, Albert"
"Losey, Frank Hoyt"
"Louis, Nicolas"
"Lovreglio, Donato"
"Luckner, Georg"
"Luczak, Hugo"
"Lupo, Thomas"
"Luporini, Gaetano"
"Lutz, Meyer"
"Lux, Friedrich"
"Lyra, Justus Wilhelm"
"Léonbro, Léo"
"Macfarren, George Alexander"
"Macfarren, Walter"
"Magherini, Giuseppe Maria"
"Mahler, Gustav"
"Mahler, Robert"
"Mahu, Stephan"
"Mailly, Alphonse"
"Mainerio, Giorgio"
"Majer, Beno"
"Majocchi, Luigi"
"Malcolm, Alexander"
"Mangeon, Edouard"
"Manjón, Antonio Jimenez"
"Mannelli, Carlo"
"Marais, Roland"
"Marchesi, Salvatore"
"Markull, Friedrich Wilhelm"
"Marsick, Martin Pierre"
"Martin, Alexis"
"Martinez Imbert, Claudio"
"Martini, Johannes"
"Martín y Soler, Vicente"
"Mascagni, Pietro"
"Maschera, Florentio"
"Massaino, Tiburtio"
"Masson, Fernand"
"Massonneau, Louis"
"Mattei, Tito"
"Matthay, Tobias"
"Matthews, Artie"
"Matys, Karl"
"Maurer, Ludwig Wilhelm"
"Mayone, Ascanio"
"Mayr, Giovanni Simone"
"Mazin, Michael"
"Mazzinghi, Joseph"
"Mazzocchi, Virgilio"
"Meglio, Vincenzo de"
"Mehlhart, Anton"
"Meier, Georg"
"Melartin, Erkki"
"Melcer-Szczawiński, Henryk"
"Melkikh, Dmitrii Mikheevich"
"Menta, Francesco"
"Menter, Sophie"
"Merikanto, Oskar"
"Mesquita, Carlos de"
"Messager, André"
"Methfessel, Friedrich"
"Michi, Orazio"
"Mico, Richard"
"Middelschulte, Wilhelm"
"Mikuli, Carl"
"Millöcker, Carl"
"Minozzi, Petronio"
"Moderne, Jacques"
"Moller, John Christopher"
"Mondonville, Jean-Joseph Cassanéa de"
"Moniuszko, Stanisław"
"Monleone, Domenico"
"Moreau, Jean-Baptiste"
"Motta, Artemio"
"Mouret, Jean-Joseph"
"Mouton, Jean"
"Mozzani, Luigi"
"Muffat, Gottlieb"
"Musard, Philippe"
"Muzio, Emanuele"
"Mysliveček, Josef"
"Möller, Nils Peter"
"Mückenberger, Hilmar"
"Müller, Iwan"
"Müller, Wenzel"
"Naderman, François-Joseph"
"Nakada, Akira"
"Nares, James"
"Nava, Antonio Maria"
"Navoigille, Julien"
"Nazareth, Ernesto"
"Nedbal, Oskar"
"Nenna, Pomponio"
"Nepomuceno, Alberto"
"Neukomm, Sigismund"
"Neuman, Władysław"
"Neumann, Heinrich"
"Neupert, Edmund"
"Neustedt, Charles"
"Ng, Francis"
"Nicholl, Horace Wadham"
"Nicodé, Jean Louis"
"Nicolai, Otto"
"Nigetti, Francesco"
"Noferi, Giovan Battista"
"Noordt, Anthoni van"
"Norris, Homer Albert"
"Nouguès, Jean"
"Novello, Vincent"
"Nováček, Ottokar"
"Nápravník, Eduard"
"Núñez-Robres, Lázaro"
